#separator:tab
#html:true
#guid column:1
#tags column:6
uIk^cZVEq<	相変わらず	相[あい] 変[か]わらず	as before [usual]		0007 0125
bQyM(}>.15	～用	～ 用[よう]	for ～		0173
H^J$2{)<[]	陽気	陽[よう] 気[き]	cheerful		0006
p/%z3Wl[t,	要求	要[よう] 求[きゅう]	demand		0042
C6O:DKk$PW	洋食	洋[よう] 食[しょく]	Western food	反.  和[わ] 食[しょく]<br>Japanese food	0014
grz-S-`!}/	幼稚園	幼[よう] 稚[ち] 園[えん]	kindergarten		0054 0055
"O$^#]-]v/@"	幼稚園児	幼[よう] 稚[ち] 園[えん] 児[じ]	kindergarten child		0055
IL:5=5;?j1	用途	用[よう] 途[と]	(intended) use		0112
QyvnZ),OrL	洋風	洋[よう] 風[ふう]	Western style	反.  和[わ] 風[ふう]<br>Japanese style	0014 0015
O<x0_Gs:Ta	ようやく	ようやく	in the end		0011 0136
"FXbA7:#M!_"	要領	要[よう] 領[りょう]	point, gist		0006
m+OeZ9)y]-	預金	預[よ] 金[きん]	saving, deposit		0062
EH~:<:}*yl	～預金	～ 預[よ] 金[きん]	～ deposit		0063
vsJ[qRgw+z	余計	余[よ] 計[けい]	extra		0124
r5Og}17Wu{	汚す	汚[よご]す	to get dirty		0018
"g=CT3#oN8<"	予算案	予[よ] 算[さん] 案[あん]	budget proposal		0066 0067
"gvKi1#G~(w"	寄せる	寄[よ]せる	to bring close to, to send, to have		0095
zshQ:Cp5NN	予想通り	予[よ] 想[そう] 通[どお]り	as expected		0083
"E&@<Y#1tU5"	酔っ払い	酔[よ]っ 払[ぱら]い	drunkard		0014
"Et#VWY9Niv"	よっぽど	よっぽど	exceedingly		0124
f<5zb7ZR8V	予定通り	予[よ] 定[てい] 通[どお]り	as scheduled		0083
xI3Rb-],i.	与党	与[よ] 党[とう]	ruling party		0066
BYYxY3U||<	夜中	夜[よ] 中[なか]	middle of the night		0082
ktBOReDOUs	呼び出す	呼[よ]び 出[だ]す	to call, to page		0160
t0}>[bq/KA	余分	余[よ] 分[ぶん]	extra, surplus		0022
u:vWWrl(~o	予防	予[よ] 防[ぼう]	prevention		0022
09pz4OMvS	予防法	予[よ] 防[ぼう] 法[ほう]	how to prevent		0173
K7VEqxiJn!	よほど	よほど	exceedingly		0015 0124
g+Sc`!HP;H	読み直す	読[よ]み 直[なお]す	to reread		0160
wE1YpaQE1R	弱気	弱[よわ] 気[き]	coward	反.  強[つよ] 気[き]<br>strong, aggressive	0006
yvXTjv+^Bz	弱まる	弱[よわ]まる	to weaken (vi.)		0178
N$pqCo88*)	弱み	弱[よわ]み	weakness		0179
b%+cH2J[;*	弱める	弱[よわ]める	to weaken (vt.)		0178
"shbHx8rPv#"	四歳児	四[よん] 歳[さい] 児[じ]	four-year-old child		0054 0055
"K:D#si)*:P"	～らしい	～らしい	look, seem		0011
"o1#ZD><${z"	ラッシュアワー	ラッシュアワー	rush hour		0030
l&zDQE|yj<	乱暴	乱[らん] 暴[ぼう]	rough, violent		0006
J<haXZ{RQW	利害	利[り] 害[がい]	interests		0042
MxY6fe8p?b	陸	陸[りく]	land		0034
I2VFB3y*)}	離婚	離[り] 婚[こん]	divorce		0054
GjLyvya<dS	リサイクル	リサイクル	recycle		0070
nYK9v+in&9	利子	利[り] 子[し]	interest		0062
qIHvGv}&/m	理想	理[り] 想[そう]	ideal		0010
Hw.,R!l)I&	理想的	理[り] 想[そう] 的[てき]	ideal		0011
Le=nn-$8?0	利息	利[り] 息[そく]	interest		0062
p:U>bKp{/7	～率	～ 率[りつ]	～ rate		0173
s_=SGjJR8d	立体	立[りっ] 体[たい]	solid		0078
P;A5j{q:{4	リットル	リットル	litre		0078
gy{c0/{gux	立法センチメートル	立[りっ] 法[ぽう]センチメートル	cubic centimetre		0078
sJ~;X!eS`!	立方体	立[りっ] 方[ぽう] 体[たい]	cube		0078
F,3I2N,^*A	両～	両[りょう]～	both ～		0167
O8tCb1?8/q	～料	～ 料[りょう]	～ fee		0015 0172
tm/m!&n.N%	～量	～ 量[りょう]	～ amount		0071 0173
McC57.*dkO	料金	料[りょう] 金[きん]	fee, charge		0062
tAMi|g<eNC	両ひざ	両[りょう]ひざ	both knees		0167
yXH06;XT0z	両わき	両[りょう]わき	both sides		0167
L&I{CQCvkP	～力	～ 力[りょく]	～ power [force]		0173
q+J7*V+_C3	リラックス	リラックス	relax		0113
bBwb$Zh}*(	礼儀	礼[れい] 儀[ぎ]	courtesy		0112
CRD_z`/[jv	礼儀正しい	礼[れい] 儀[ぎ] 正[ただ]しい	polite		0006 0007
bwfet.fs2h	冷静	冷[れい] 静[せい]	calm		0006 0113
C{[};l,RI6	レジャー	レジャー	leisure		0112
NJ-x+v%g?c	～連合	～ 連[れん] 合[ごう]	～ union [coalition]		0067
l$/3^m8>DV	労働組合	労[ろう] 働[どう] 組[くみ] 合[あい]	trade union [labor union]		0042
F~$$oPu+Nj	労働条件	労[ろう] 働[どう] 条[じょう] 件[けん]	working conditions		0042
JoVVB1Cx2H	ローン	ローン	loan		0062
e=?CK(pc-W	ロンドン行き	ロンドン 行[い]き	to [bound] for London		0030 0031
O1KX=fzP,8	論文	論[ろん] 文[ぶん]	dissertation, essay		0038
"p#sX/]]574"	わがまま	わがまま	selfish		0006 0107
lCI;@s3ltg	わく	わく	to spring out		0034
PD42xL41YE	枠	枠[わく]	box		0083
"iJ#[n_9We["	わざと	わざと	on purpose		0007 0136
m*sOGJ}Z|A	わざわざ	わざわざ	bother [trouble] (to do)		0136
NMnyN/H;ew	和食	和[わ] 食[しょく]	Japanese food	反.  洋[よう] 食[しょく]<br>Western food	0014
m{eArUEGa:	わずか	わずか	a few, a little, only		0027 0078 0137
vn$E~s4*dE	綿	綿[わた]	cotton (plant)		0026
JZWHJvzAx8	話題	話[わ] 題[だい]	topic		0046
"b7qY#RbX:d"	和風	和[わ] 風[ふう]	Japanese style	反.  洋[よう] 風[ふう]<br>Western style	0014 0015
b,GueI00KP	笑いかける	笑[わら]いかける	to smile, to grin		0160
P%s^5vms]t	割合	割[わり] 合[あい]	proportion		0124
mTY%]$AA3*	割り勘	割[わ]り 勘[かん]	to split [share] the costs		0078
F`gF89dd1%	割り算	割[わ]り 算[ざん]	division		0078
h;Ayzfl)w1	割と	割[わり]と	comparatively		0124
"f(#y-V];3["	割る	割[わ]る	to divide		0078
IGL_)lI7h`	湾	湾[わん]	bay		0034
d-Z_;G:Tfm	夫人	夫[ふ] 人[じん]	wife		0002
dX,3kCU1h6	新時代	新[しん] 時[じ] 代[だい]	new era		0067
